title,url,content,clean_text,clean_text_nostop,sentiment_score,sentiment_label
Sambutan Presiden pada Akad Massal 62.000 Unit KPR Rumah Subsidi dan KUR Perumahan Sebesar Rp880 Miliar,https://www.setneg.go.id/baca/index/sambutan_presiden_pada_akad_massal_62000_unit_kpr_rumah_subsidi_dan_kur_perumahan_sebesar_rp880_miliar,"Perlu, ya?",perlu ya,perlu,2,positif
Sambutan Presiden pada Akad Massal 62.000 Unit KPR Rumah Subsidi dan KUR Perumahan Sebesar Rp880 Miliar,https://www.setneg.go.id/baca/index/sambutan_presiden_pada_akad_massal_62000_unit_kpr_rumah_subsidi_dan_kur_perumahan_sebesar_rp880_miliar,Kasihan mereka sudah datang jauh-jauh.,kasihan mereka sudah datang jauh jauh,kasihan sudah datang jauh jauh,-17,negatif
Sambutan Presiden pada Akad Massal 62.000 Unit KPR Rumah Subsidi dan KUR Perumahan Sebesar Rp880 Miliar,https://www.setneg.go.id/baca/index/sambutan_presiden_pada_akad_massal_62000_unit_kpr_rumah_subsidi_dan_kur_perumahan_sebesar_rp880_miliar,Bupati Batang Saudara Faiz Kurniawan; Bupati Banjarnegara Saudari Amalia Desiana; Bupati Brebes Saudara Paramitha Widya Kusuma; Bupati Karanganyar Saudara Rober Christanto.,bupati batang saudara faiz kurniawan bupati banjarnegara saudari amalia desiana bupati brebes saudara paramitha widya kusuma bupati karanganyar saudara rober christanto,bupati batang saudara faiz kurniawan bupati banjarnegara saudari amalia desiana bupati brebes saudara paramitha widya kusuma bupati karanganyar saudara rober christanto,0,netral
Sambutan Presiden pada Akad Massal 62.000 Unit KPR Rumah Subsidi dan KUR Perumahan Sebesar Rp880 Miliar,https://www.setneg.go.id/baca/index/sambutan_presiden_pada_akad_massal_62000_unit_kpr_rumah_subsidi_dan_kur_perumahan_sebesar_rp880_miliar,"Karanganyar, oh, enggak hadir.",karanganyar oh enggak hadir,karanganyar enggak hadir,-3,negatif
Sambutan Presiden pada Akad Massal 62.000 Unit KPR Rumah Subsidi dan KUR Perumahan Sebesar Rp880 Miliar,https://www.setneg.go.id/baca/index/sambutan_presiden_pada_akad_massal_62000_unit_kpr_rumah_subsidi_dan_kur_perumahan_sebesar_rp880_miliar,Coba dicatat.,coba dicatat,coba dicatat,-1,negatif
Sambutan Presiden pada Akad Massal 62.000 Unit KPR Rumah Subsidi dan KUR Perumahan Sebesar Rp880 Miliar,https://www.setneg.go.id/baca/index/sambutan_presiden_pada_akad_massal_62000_unit_kpr_rumah_subsidi_dan_kur_perumahan_sebesar_rp880_miliar,Bupati Kendal Saudara Dyah Kartika Permanasari; Bupati Klaten Saudara Hamenang Wajar Ismoyo.,bupati kendal saudara dyah kartika permanasari bupati klaten saudara hamenang wajar ismoyo,bupati kendal saudara dyah kartika permanasari bupati klaten saudara hamenang wajar ismoyo,-5,negatif
Sambutan Presiden pada Akad Massal 62.000 Unit KPR Rumah Subsidi dan KUR Perumahan Sebesar Rp880 Miliar,https://www.setneg.go.id/baca/index/sambutan_presiden_pada_akad_massal_62000_unit_kpr_rumah_subsidi_dan_kur_perumahan_sebesar_rp880_miliar,Terima kasih.,terima kasih,terima kasih,1,positif
Sambutan Presiden pada Akad Massal 62.000 Unit KPR Rumah Subsidi dan KUR Perumahan Sebesar Rp880 Miliar,https://www.setneg.go.id/baca/index/sambutan_presiden_pada_akad_massal_62000_unit_kpr_rumah_subsidi_dan_kur_perumahan_sebesar_rp880_miliar,Bupati Purbalingga Saudara Fahmi Muhammad Hanif; Bupati Rembang Saudara Harno.,bupati purbalingga saudara fahmi muhammad hanif bupati rembang saudara harno,bupati purbalingga saudara fahmi muhammad hanif bupati rembang saudara harno,0,netral
Sambutan Presiden pada Akad Massal 62.000 Unit KPR Rumah Subsidi dan KUR Perumahan Sebesar Rp880 Miliar,https://www.setneg.go.id/baca/index/sambutan_presiden_pada_akad_massal_62000_unit_kpr_rumah_subsidi_dan_kur_perumahan_sebesar_rp880_miliar,Terima kasih.,terima kasih,terima kasih,1,positif
Sambutan Presiden pada Akad Massal 62.000 Unit KPR Rumah Subsidi dan KUR Perumahan Sebesar Rp880 Miliar,https://www.setneg.go.id/baca/index/sambutan_presiden_pada_akad_massal_62000_unit_kpr_rumah_subsidi_dan_kur_perumahan_sebesar_rp880_miliar,Bupati Semarang Saudara Ngesti Nugraha; Bupati Sragen Saudara Sigit Pamungkas.,bupati semarang saudara ngesti nugraha bupati sragen saudara sigit pamungkas,bupati semarang saudara ngesti nugraha bupati sragen saudara sigit pamungkas,0,netral
Sambutan Presiden pada Akad Massal 62.000 Unit KPR Rumah Subsidi dan KUR Perumahan Sebesar Rp880 Miliar,https://www.setneg.go.id/baca/index/sambutan_presiden_pada_akad_massal_62000_unit_kpr_rumah_subsidi_dan_kur_perumahan_sebesar_rp880_miliar,Wali Kota Tegal Saudara Dedy Yon Supriyono; Wali Kota Pekalongan Saudara Achmad Afzan Arslan Djunaid; Wali Kota Salatiga Saudara Robby Hernawan.,wali kota tegal saudara dedy yon supriyono wali kota pekalongan saudara achmad afzan arslan djunaid wali kota salatiga saudara robby hernawan,wali kota tegal saudara dedy yon supriyono wali kota pekalongan saudara achmad afzan arslan djunaid wali kota salatiga saudara robby hernawan,-7,negatif
Sambutan Presiden pada Akad Massal 62.000 Unit KPR Rumah Subsidi dan KUR Perumahan Sebesar Rp880 Miliar,https://www.setneg.go.id/baca/index/sambutan_presiden_pada_akad_massal_62000_unit_kpr_rumah_subsidi_dan_kur_perumahan_sebesar_rp880_miliar,Wakil Bupati Tegal Saudara Ahmad Kholid; Wakil Bupati Grobogan Saudara Sugeng Prasetyo; Wakil Bupati Brebes Saudara Wurja.,wakil bupati tegal saudara ahmad kholid wakil bupati grobogan saudara sugeng prasetyo wakil bupati brebes saudara wurja,wakil bupati tegal saudara ahmad kholid wakil bupati grobogan saudara sugeng prasetyo wakil bupati brebes saudara wurja,-4,negatif
Sambutan Presiden pada Akad Massal 62.000 Unit KPR Rumah Subsidi dan KUR Perumahan Sebesar Rp880 Miliar,https://www.setneg.go.id/baca/index/sambutan_presiden_pada_akad_massal_62000_unit_kpr_rumah_subsidi_dan_kur_perumahan_sebesar_rp880_miliar,Plt Bupati Pati Saudara Risma Ardhi Chandra; Plt Bupati Pekalongan Saudara Sukirman.,plt bupati pati saudara risma ardhi chandra plt bupati pekalongan saudara sukirman,plt bupati pati saudara risma ardhi chandra plt bupati pekalongan saudara sukirman,-5,negatif
Sambutan Presiden pada Akad Massal 62.000 Unit KPR Rumah Subsidi dan KUR Perumahan Sebesar Rp880 Miliar,https://www.setneg.go.id/baca/index/sambutan_presiden_pada_akad_massal_62000_unit_kpr_rumah_subsidi_dan_kur_perumahan_sebesar_rp880_miliar,Terima kasih.,terima kasih,terima kasih,1,positif
Sambutan Presiden pada Akad Massal 62.000 Unit KPR Rumah Subsidi dan KUR Perumahan Sebesar Rp880 Miliar,https://www.setneg.go.id/baca/index/sambutan_presiden_pada_akad_massal_62000_unit_kpr_rumah_subsidi_dan_kur_perumahan_sebesar_rp880_miliar,"Saudara-saudara sekalian para Dirut Bank, Dirut Utama Himpunan Bank Milik Negara yang hadir semuanya, ya.",saudara saudara sekalian para dirut bank dirut utama himpunan bank milik negara yang hadir semuanya ya,saudara saudara sekalian dirut bank dirut utama himpunan bank milik negara hadir semuanya,-9,negatif
